t,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs
0,-0.00201547462547151,41.0814016706196,0.00759794413547757
4.5,NaN,NaN,0.00691041341366256
9,NaN,NaN,0.00431885494187267
15,NaN,111.105511295762,0.00115368637438065
20,0.110109595605088,NaN,0.000712405280841695
25,NaN,NaN,0.000360748829587795
30,NaN,84.5508496736167,5.13755415261779e-05
40,0.104909131725621,NaN,0.000123669137072847
45,NaN,93.0592406473484,-0.000465994202238095
60,0.0962248164980817,114.800082615313,0.000190974119096684
70,NaN,NaN,0.000208095761634502
80,0.100798499698373,104.535428308753,NaN
95,NaN,94.089383954681,NaN
100,0.0863642103421654,101.456306151604,NaN
150,0.0737322415288022,97.7852773687203,NaN
200,0.0694827328530018,86.5844746397741,NaN
250,0.0438528298662669,80.6254100970474,NaN
300,0.0568834308629987,71.8986235287638,NaN
350,0.0333958108802765,60.786867304073,NaN
450,0.0195271575810102,NaN,NaN
