t,input_il6,pJAK1_gp130_Obs
460,0.1,0.000736654181037439
460,0.1,0.000294806311451037
460,0.5,0.000765494911230599
460,0.5,0.000506799277786293
460,1,0.00110539017566632
460,1,0.00109071644286204
460,2.5,0.0026857109411602
460,2.5,0.00305921237695368
460,5,0.00626950451738693
460,5,0.00640127477784457
460,10,0.00169033290114765
460,10,0.00156319434271103
460,25,0.00380135474688401
460,25,0.00402750697599445
460,50,0.00172094943208831
460,50,0.00199950585969882
460,100,0.00461247095978769
460,100,0.00479358343397906
460,500,0.0090436449130987
460,500,0.00902770386955087
