t,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs
0,0.00473427068536015,38.0404867306748,-0.0686867353594139
9,NaN,101.090129840463,0.385644138579076
10,0.100708255693272,NaN,NaN
20,NaN,49.9978634609614,4.69786935180391
25,-0.000558684207686558,NaN,NaN
30,NaN,23.0281069744527,1.51039508918122
40,0.000437024898791543,40.7054192907706,0.0864234053492525
55,0.00688603805715876,44.3273200821213,-0.0653855019850764
65,NaN,48.6372517420757,NaN
70,0.0116160524188633,NaN,-0.0949843553694396
85,NaN,50.1181312834038,0.284117987450749
90,0.0141828699827077,NaN,NaN
100,0.0134500580915045,42.5601207474451,0.291761697057654
150,0.0157615309641887,45.1394217108483,0.262325923513796
