t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs
0,0.000530336364243452,0.00303444169985992,38.8110510609352,-0.0627991966088415
10,NaN,0.062192857159097,83.9526077191575,0.266494782773185
15,0.0153538539793911,NaN,NaN,NaN
20,NaN,NaN,64.6269650203572,2.73943025963578
25,0.00145154549318792,0.0104223303014263,NaN,NaN
35,NaN,0.0010932214245953,39.1707406921895,0.456481960923189
40,0.000276188123025697,NaN,NaN,NaN
45,NaN,NaN,37.6120046028003,0.00929273684833109
50,NaN,0.00123073188564031,NaN,NaN
60,0.00162843030203399,NaN,47.0640616235045,-0.00990741935158537
70,NaN,0.00796670122589232,NaN,NaN
75,NaN,NaN,54.96903500073,NaN
80,0.0025764225675467,NaN,NaN,0.0604220545940251
90,NaN,0.0161982555523908,NaN,NaN
95,NaN,NaN,63.9013978511547,0.120643315517307
100,0.00311970232913927,0.0165637625393597,54.0629155752634,0.127056186303495
150,0.00279665910145468,0.0148551286473948,43.1708951032176,0.150751196943926
200,NaN,NaN,50.6429910929072,NaN
