t,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs
0,0.00412683720130897,33.5381784952664,0.00717887414954862
6,NaN,45.1370726058227,NaN
7,NaN,NaN,0.0156412558932538
10,0.0204929095404737,51.2027705467326,NaN
15,NaN,NaN,0.156733422498283
20,NaN,57.0395483878238,NaN
25,0.0247507982169546,45.786004002989,0.570163017892717
30,NaN,NaN,0.563192423484041
35,NaN,40.8168690452149,NaN
40,0.00601385510229181,NaN,NaN
45,NaN,37.6609216781863,0.0832982225840706
55,0.00258319363772557,46.7415042911955,0.00210221403773597
65,NaN,41.0564670270887,NaN
70,NaN,NaN,0.0036789893273439
75,0.00713838249680909,NaN,NaN
95,0.00776780081591879,NaN,NaN
