t,input_il6,pJAK1_gp130_Obs
71,0,0.000198425510400106
71,0,0.00071046720981721
71,0.5,0.000815613783600567
71,0.5,0.000975323744876187
71,1,0.00122743016846175
71,1,0.00156080698847707
71,2.5,0.00215426399328239
71,2.5,0.00227579984021371
71,5,0.00300265041797175
71,5,0.00305436514943701
71,10,0.0042776694087175
71,10,0.00465851410563623
71,25,0.00476789068928578
71,25,0.00575499333325975
71,50,0.0050387831577846
71,50,0.00508883184778725
71,100,0.00512163693799541
71,100,0.00523830532731626
71,500,0.00671131070239357
71,500,0.00727597993429193
