t,EpoR_Obs,dEpo_i_Obs
0,737.401779842149,66.3700159020192
25,282.237817377193,NaN
30,NaN,5.28134962188966
50,219.893582029472,NaN
65,NaN,51.4100156086842
75,302.888928978966,NaN
100,654.252830160575,23.0628467378451
150,598.109766849573,138.125587848174
200,502.784612867281,106.891631430978
250,336.861714774351,160.625694930926
300,800.396058546697,247.745880946994
350,860.416891884017,126.868747249373
450,298.05192287016,159.60852999591
500,997.22290115823,NaN
550,NaN,188.56338040311
650,NaN,186.673928169739
