t,ApoER2_re_Dab1_Obs,Compound_1_Obs
0,9.76931467731227e-09,1.62052500056917
15,1.03404462811725e-05,NaN
30,7.91402364604431e-06,0.300897780621782
50,5.76553932446079e-06,NaN
60,NaN,0.59391127500289
70,5.12301281770074e-06,NaN
90,6.58909686204747e-06,NaN
95,NaN,0.361658509702117
100,5.54362658939438e-06,NaN
150,4.33110603809408e-06,0.347399598204449
200,4.4519980212288e-06,0.262621213291045
250,6.76680576986789e-06,NaN
300,1.10919984709802e-06,0.0918403903291168
350,NaN,0.0810763755071669
450,NaN,0.0822665482593827
500,NaN,0.0855074225971281
