t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,0.00158943843273842,0.260137751538463,0.789145933149784
5,NaN,1.08174331780554,NaN
8,0.000326244458620761,NaN,NaN
10,NaN,1.50775247905948,NaN
15,0.00305087818720308,1.6632282799199,NaN
20,NaN,-0.675379634023689,NaN
25,0.00029116223509413,NaN,0.611181302950691
30,NaN,0.26208881614993,NaN
35,0.00817678176641541,-1.33315857343734,NaN
45,-0.0160898627763442,0.00436959053807261,NaN
55,NaN,1.14444211219671,0.609939578473994
60,-0.0135178850159877,NaN,NaN
70,NaN,20.7328433022037,NaN
75,0.140298601649395,NaN,NaN
85,NaN,20.8686630337611,0.635803657006708
90,0.132997122548581,NaN,NaN
100,0.146993668761014,NaN,0.526968669913918
150,NaN,NaN,0.355307697859539
200,NaN,NaN,0.281765168919101
250,NaN,NaN,0.45140705731185
300,NaN,NaN,0.584946066052804
