t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,0.0158563811613314,-10.3050583908434,0.978272102759908
7,NaN,-9.63747898195274,NaN
9,NaN,NaN,0.522171627031236
10,0.0287527018108798,NaN,NaN
15,NaN,47.0668696397291,NaN
20,0.187394964579335,37.0541667820733,0.682211346338193
30,0.23140472442311,44.8188522929091,0.91605030699932
35,NaN,59.3738238677034,NaN
40,NaN,NaN,0.696206888203108
45,0.497030139674584,51.755494774445,NaN
50,NaN,NaN,0.30650637158837
55,0.322952329617166,76.4348322674259,NaN
65,NaN,37.1539164037381,0.480686154927531
70,0.349932373696607,NaN,NaN
80,NaN,39.0922546539266,0.439656769834082
85,0.473569166559207,NaN,NaN
95,NaN,18.4318098240724,NaN
100,0.289941514594995,66.6025799625014,0.453999250616156
150,0.390879230105559,48.0100781151205,0.588888793529766
200,0.379320926332085,48.1440816547415,NaN
