t,AC_Fsk_Obs,RII_2_Obs,Csub_Obs
0,-0.0091003192560396,0.0327636922383776,0.244854447093821
7,NaN,NaN,0.245900628085928
10,NaN,0.103041842311849,NaN
15,-0.0632614891810425,NaN,0.239120454049445
20,NaN,0.0946152388503365,0.196909554993143
30,-0.260148934179793,NaN,0.128471519431529
35,NaN,0.0881170748355086,NaN
45,-0.163786768708984,NaN,0.195623147925298
50,NaN,0.0623584810825622,NaN
55,NaN,NaN,0.131660233535885
65,-0.0342507192742304,0.0725835569039582,NaN
80,0.219697537562545,NaN,NaN
85,NaN,0.0946469181216859,NaN
100,-0.287227112261203,NaN,NaN
150,-0.14666206563139,NaN,NaN
200,0.0543161265529666,NaN,NaN
250,0.259064313891676,NaN,NaN
300,0.0326475968826291,NaN,NaN
350,0.0610117615818772,NaN,NaN
450,0.00708808305469509,NaN,NaN
