t,AC_Fsk_Obs,RII_C_2_Obs,RII_2_Obs
0,0.349106813127382,0.529081761763854,0.0874205992447875
6.5,NaN,NaN,0.0858543588740622
7,NaN,0.7747607611267,NaN
15,0.0835951868102902,0.565742743034231,0.106498054774992
20,NaN,0.576037899107827,0.0478543654836215
25,-0.466145427846155,NaN,NaN
30,NaN,0.512696465972935,0.0688221246545048
40,-0.250191796926933,0.626841895464461,0.0763311006659666
50,NaN,0.591262225813636,0.0545010158109425
55,0.532551329866475,NaN,NaN
60,NaN,0.387306093395733,0.0414188978101356
70,0.37793230999958,NaN,NaN
75,NaN,0.413898225665338,0.0738081566160991
90,0.0443658566377115,0.652539543775139,NaN
95,NaN,NaN,0.0606618514003424
100,0.275084163898213,0.36560421243488,NaN
150,0.0332204908711335,0.402067242296966,NaN
200,-0.92048172038366,NaN,NaN
