t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,0.17351811961831,0.301852431488543,0.801698603626402
3,NaN,0.357524861532556,NaN
6.5,NaN,0.629988956828964,NaN
7.5,NaN,NaN,0.309567406571876
9,0.0263005507143174,NaN,NaN
10,NaN,0.709908838764872,NaN
15,NaN,0.637037705326359,0.518473173381911
20,0.0415265259125355,0.982008342233511,NaN
25,NaN,0.927245744230202,0.494341486753178
30,0.348218736896914,0.943818805192366,0.721966970038946
40,-0.033799231489903,NaN,0.711027269170338
50,0.361193602690489,NaN,0.616861574285713
60,NaN,NaN,0.397395905445875
65,0.0529468146246926,NaN,NaN
75,NaN,NaN,0.47648330659271
85,0.00814247121679636,NaN,NaN
90,NaN,NaN,0.427812058907762
100,0.0384461281258857,NaN,0.593120946004283
150,0.0140926095569415,NaN,0.78042073186365
