t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,-0.00142506249673174,1.31286122456517,0.739978574709569
5,NaN,-0.502954098006408,NaN
7.5,-0.00379041124144875,NaN,NaN
10,NaN,1.37903835092944,NaN
15,-0.0219752163568295,-1.6886726632413,NaN
20,NaN,-0.549317486687586,NaN
25,0.00955071368409128,NaN,0.680330563840191
30,NaN,0.980024658443476,NaN
35,0.0221379095367157,0.339165863845228,NaN
45,0.0162010391013637,-0.649482631126121,0.730294944257465
55,0.00252896903649471,1.73416520383013,NaN
70,0.130980607956573,21.0113235597989,0.37224938322096
85,NaN,19.2673156419181,NaN
90,0.126076441572961,NaN,NaN
95,NaN,NaN,0.482198122099263
100,0.151111049211362,NaN,NaN
150,NaN,NaN,0.377272971334355
200,NaN,NaN,0.502383721958157
250,NaN,NaN,0.489306857043814
300,NaN,NaN,0.230135231205339
350,NaN,NaN,0.283442410344861
450,NaN,NaN,0.230966805840817
