t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,-0.0731743987872701,-165.363017026809,0.811836620599781
0.15,0.27505156698585,NaN,NaN
0.25,0.308280226915968,NaN,NaN
0.4,0.474998211986906,NaN,NaN
0.6,0.331125047784923,NaN,NaN
0.8,0.40458494121169,NaN,NaN
1,0.241527204704935,NaN,NaN
1.5,0.357968539893134,NaN,NaN
2,NaN,286.517648097532,0.684127503088409
4,NaN,193.969382357346,0.784988556319129
6,NaN,NaN,0.465213605522417
6.5,NaN,407.78207902986,NaN
8.5,NaN,NaN,0.421045954767009
9.5,NaN,328.710643956712,NaN
10,NaN,472.780394859186,0.579536613074465
15,NaN,272.27147241463,0.859121788195051
20,NaN,NaN,0.531543827830405
25,NaN,NaN,0.542213204030037
30,NaN,NaN,0.51283553719899
40,NaN,NaN,0.526197344267053
