t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,0.00886086637112015,0.235082277755998,0.543489530841473
6,NaN,0.679783628773455,NaN
10,-0.00357411695661958,NaN,0.621268723437232
15,NaN,-0.711986416426386,NaN
20,-0.000586356453345049,-0.431084256344731,0.797956711728754
25,NaN,-0.19323338991393,NaN
35,-0.00248054950013755,0.187518751076508,0.48907823083349
45,0.00268797495798225,0.0609748624953632,NaN
50,NaN,NaN,0.899334902527873
55,NaN,-0.146857566723484,NaN
65,0.0528169400174058,NaN,0.43261921411206
70,NaN,7.73749853998676,NaN
80,0.0406888879468426,NaN,NaN
85,NaN,8.07599864932107,0.707538658933643
100,0.0485026467084381,7.62519617317663,NaN
150,0.0532611504552425,NaN,NaN
