t,AC_Fsk_Obs,RII_C_2_Obs,RII_2_Obs
0,0.173625635078506,0.58595179167014,0.0623770915382612
7.5,NaN,NaN,0.109911241774384
8,NaN,0.461069364525631,NaN
8.5,0.28175806257677,NaN,NaN
15,-0.0602750434378688,0.880771275648084,0.0907036720568523
25,-0.00950466779513372,0.666390748803128,0.071593004967575
35,-0.198004688339792,0.460272853080917,0.0412375411303048
45,NaN,0.564734126563741,0.0701159597341047
50,-0.0532614665226845,NaN,NaN
55,NaN,0.370340787636226,NaN
60,-0.214772183472643,NaN,0.0535252447613478
65,NaN,0.426280020850727,NaN
75,0.129621868490039,NaN,NaN
80,NaN,0.679218639137435,NaN
90,-0.0955995568241641,NaN,NaN
95,NaN,0.531867741189477,NaN
100,-0.00271490654367108,0.550876377859004,NaN
150,-0.240045687882242,0.434532302140205,NaN
