t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,-0.00983267761031475,-0.747262710280919,0.652349644969589
4,NaN,-0.426862509414803,NaN
7,0.00763959027924627,NaN,NaN
8.5,NaN,0.444877644542047,NaN
15,0.0218475328623236,-0.929126651753773,NaN
20,-0.0118628353216376,-0.752540924382925,NaN
25,NaN,0.635641481155519,0.449220950152125
30,-0.00790338349138638,0.827737793470739,NaN
35,NaN,0.703981670761674,NaN
40,-0.0262002776186472,NaN,NaN
45,NaN,0.263616937686785,NaN
50,NaN,NaN,0.706890411092222
55,-0.00922314445215796,-0.451855984730964,NaN
65,0.140817649894136,19.7172887110684,NaN
80,NaN,21.0985507353059,0.618747932637645
85,0.134327659686912,NaN,NaN
100,0.126064699288721,NaN,0.301098711988501
150,NaN,NaN,0.404449774483776
200,NaN,NaN,0.398748523809053
250,NaN,NaN,0.503450040158629
300,NaN,NaN,0.440489358203815
350,NaN,NaN,0.482035860310806
450,NaN,NaN,0.470641994104148
