t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,0.0237039350221899,5.49091293597217,0.638719640645528
6.5,NaN,4.25578882106445,NaN
9,0.00996978934961359,NaN,NaN
10,NaN,NaN,0.55196472585209
15,NaN,1.33061026524393,NaN
20,-0.0386151676499056,1.86765142714701,0.539000800922332
30,0.0222092542621081,2.08574268771255,NaN
35,NaN,-1.00385940141795,0.5473015311285
40,-0.0811872383066129,NaN,NaN
45,NaN,-0.982240577106575,NaN
50,NaN,NaN,0.5266950767607
55,0.0261378104144849,NaN,NaN
60,NaN,-5.91171915920497,NaN
70,NaN,NaN,0.64995932503854
75,0.325225654807956,53.4236459379976,NaN
90,NaN,51.0410635273432,0.553820515806272
95,0.369522813851239,NaN,NaN
100,0.318958240902852,46.2045455420721,NaN
