t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,0.00844797053038009,-0.392211247470344,0.407357424572102
5,NaN,0.740856981079905,NaN
9,-0.00141194097305787,NaN,NaN
10,NaN,-0.0121423357036937,0.746703035511171
15,NaN,1.2262206362777,NaN
20,-0.00278467248670629,NaN,0.523014437304919
25,NaN,0.58126844342663,NaN
30,-0.00952416903012775,-0.0629458002005067,NaN
35,NaN,NaN,0.914250527647464
40,-0.0188117029189302,-0.342169306124956,NaN
50,NaN,0.959591866988469,0.956807028098411
55,0.0263010024036697,NaN,NaN
65,NaN,18.5978525309982,0.434158787463018
75,0.139851478819042,NaN,NaN
80,NaN,19.1994261623833,NaN
85,NaN,NaN,0.427025649752708
95,0.123146373061599,NaN,NaN
100,0.145262514833866,NaN,NaN
