t,AC_Fsk_Obs,RII_C_2_Obs,Csub_Obs
0,-0.182154337693569,0.53565784339598,0.22129919923666
10,0.134410883115565,NaN,NaN
20,NaN,0.781962427053231,0.134169478725715
25,0.121184626546187,NaN,NaN
35,-0.175521596961329,NaN,NaN
40,NaN,NaN,0.108875048980593
45,NaN,0.659280930291834,NaN
50,-0.0634065003524283,NaN,NaN
65,NaN,0.56511427705299,0.0606540076980259
70,-0.426927825576604,NaN,NaN
85,-0.348776171811513,NaN,0.0802713967827577
90,NaN,0.54143095461748,NaN
100,0.12958880541904,0.672338995653062,0.0696676399352745
150,0.308947227657266,0.415031251247834,0.0552847801832918
200,NaN,0.359312232513124,0.02954943468441
250,NaN,0.583511915985755,0.0493643049204719
300,NaN,0.171142179320386,0.0360380708619948
350,NaN,0.294399727528083,0.0127681246193367
450,NaN,0.446967144836898,-0.0102194990780188
