t,AC_Fsk_Obs,cAMP_Obs,RII_C_2_Obs
0,0.0249795599930418,138.998904640423,0.679624602475695
6.5,NaN,NaN,0.673587053092761
7,NaN,16.628429614982,NaN
10,-0.00341439861049544,NaN,NaN
15,NaN,293.752628730655,0.51767374049521
20,0.42624020494941,386.901579690164,0.588602624190862
30,0.3319660796041,333.273396862396,0.634122571235494
40,NaN,390.071029408303,0.418211657911261
45,0.348848684037872,536.121133096037,NaN
50,NaN,NaN,0.740861109292287
55,0.377618595833487,364.979994924597,NaN
60,NaN,NaN,0.495312978705635
70,0.309834052024828,428.787439368324,NaN
80,NaN,413.026709127874,NaN
90,0.264498165105031,NaN,NaN
100,0.238447867211453,432.77690356442,NaN
150,0.179099440603216,324.128046607546,NaN
200,0.313699511527935,NaN,NaN
