t,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs
0,1.32075830182415e-07,2.06177161659094e-06,194.763530614732
90,NaN,NaN,97.414797893559
150,0.000354118937015904,NaN,NaN
200,NaN,NaN,191.823662911515
250,0.000190835568647021,NaN,NaN
300,NaN,NaN,171.283701992831
350,NaN,0.00271122374251968,NaN
400,0.00012707757382729,NaN,94.4938987841919
550,4.01442182126836e-05,NaN,115.791237156623
700,NaN,NaN,209.446981508005
750,2.82466401400112e-05,0.00273240986998908,NaN
850,NaN,NaN,125.4906315195
950,8.46070877442207e-06,NaN,NaN
1000,5.52827259648747e-06,0.00084077456660337,259.313035721549
1500,1.22044887295491e-06,6.79377915646941e-05,137.973728457701
2000,8.71501888769902e-07,5.82571785179309e-05,NaN
2500,NaN,7.64244865025259e-05,NaN
3500,NaN,4.07817801445679e-05,NaN
4000,NaN,4.45755055170553e-05,NaN
5000,NaN,1.86580369647758e-05,NaN
