t,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs
0,1.14957721851741e-07,5.37347026067976e-07,83.7732631167699
55,NaN,NaN,52.9631593135544
100,NaN,NaN,48.3421847558619
150,NaN,NaN,76.8689990374851
250,NaN,NaN,72.4401866433514
300,8.71083014271332e-05,NaN,103.418136928176
400,NaN,NaN,106.005921700871
450,NaN,0.00365342794546087,NaN
500,NaN,NaN,131.766002946351
550,3.22413552880834e-05,NaN,NaN
850,NaN,0.00238062181177069,NaN
900,5.74730147478806e-05,NaN,NaN
1000,3.14177997511375e-05,NaN,NaN
1500,1.54037716372809e-05,0.00119963692511675,NaN
2000,3.87822255327943e-06,0.000280024593484877,NaN
2500,1.65572831630905e-06,0.000113304457397697,NaN
3000,9.87861566967459e-07,3.8247395344293e-05,NaN
3500,NaN,4.61999478149829e-05,NaN
4000,4.11741491547418e-07,NaN,NaN
4500,NaN,3.05577622855776e-05,NaN
5500,NaN,1.62305269790179e-05,NaN
6500,NaN,6.20433085423867e-06,NaN
