t,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs
0,2.21066877572721e-08,6.94348526351668e-07,299.868749189024
70,NaN,NaN,205.858738664361
150,NaN,NaN,38.2200167865015
200,NaN,NaN,98.6426043791237
300,NaN,NaN,118.162358027603
350,0.000101346304468871,NaN,NaN
400,NaN,NaN,76.4156545492391
500,NaN,NaN,57.6260220257434
550,NaN,0.00206323643809287,NaN
600,NaN,NaN,228.727611193903
700,2.89657615212452e-05,NaN,105.673145897762
850,NaN,NaN,53.7263272208072
1000,1.43694940239571e-05,0.000998919996946057,90.6829770750209
1500,1.06494208603333e-05,0.000185486256065071,NaN
2000,7.75072572175899e-06,NaN,NaN
2500,2.59958414814211e-06,0.00028142085904341,NaN
3000,2.16991471309596e-06,4.48636106371278e-05,NaN
3500,3.88918550469187e-07,NaN,NaN
4000,NaN,3.29546890808735e-05,NaN
4500,2.68891896571683e-07,NaN,NaN
5000,1.5693894463253e-07,1.45960092980901e-05,NaN
6000,1.65119839256615e-07,1.16478967471262e-05,NaN
7000,NaN,1.05043092889885e-05,NaN
8500,NaN,7.41184856069453e-06,NaN
