t,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs
0,2.10385685293483e-07,9.41443170741537e-07,255.664971232891
55,0.00015630472465348,NaN,NaN
100,9.21032973742983e-05,NaN,NaN
150,7.97611571855824e-05,NaN,55.6591330643799
250,8.10985531849216e-06,0.00155125533320936,NaN
300,1.37550591165244e-06,NaN,81.460145669972
350,9.94849999130858e-07,NaN,NaN
450,2.39450458170593e-07,NaN,181.127937228976
500,NaN,0.000303474876893641,NaN
550,1.32885057125228e-07,NaN,NaN
600,NaN,NaN,196.886352159546
700,1.84602506062159e-07,NaN,NaN
800,9.85096938802901e-07,2.2495199316654e-05,397.698975938658
1000,NaN,5.69322000244714e-05,136.318657189473
1500,NaN,4.55042760422143e-05,132.772343659196
2000,NaN,7.44784929724634e-05,272.352321335951
2500,NaN,3.98341223871506e-05,40.6142830706851
