t,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs
0,1.09951114552745e-07,5.38857037333519e-06,77.892743799287
65,0.000434273846577601,NaN,NaN
70,NaN,NaN,107.22792790872
150,0.000146810241163181,NaN,85.2417529669271
200,0.000133846356442341,NaN,388.316925057001
250,NaN,0.00460195108846684,NaN
300,5.37492375475576e-05,NaN,205.092367313533
350,2.31139389237994e-05,NaN,NaN
400,NaN,NaN,72.1121385309067
450,2.02879123561757e-05,NaN,NaN
500,NaN,0.00323580909229578,62.7241758113261
550,7.76928919678526e-06,NaN,NaN
650,NaN,NaN,45.0540209570453
700,1.1924974445232e-06,NaN,NaN
750,NaN,0.000106720003286714,NaN
800,NaN,NaN,168.051692340505
850,7.88553374066489e-07,NaN,NaN
1000,6.97925565248702e-07,5.72793569700691e-05,235.827078502975
1500,NaN,7.99726618769751e-05,NaN
2000,NaN,8.69331854714733e-05,NaN
2500,NaN,2.87640001276966e-05,NaN
3000,NaN,6.3579413597914e-05,NaN
