t,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs
0,1.07594413076054e-07,2.88999572755844e-06,219.543583229364
50,0.000304157850957541,NaN,NaN
90,NaN,NaN,104.70713760256
100,0.000144250608809031,NaN,NaN
150,8.27149125292672e-05,NaN,NaN
200,NaN,NaN,116.526414861783
250,2.24458945439789e-05,0.009260110146177,NaN
300,4.04223984750486e-06,NaN,252.830742171524
400,1.12143315948225e-06,NaN,305.424734828331
450,5.09403023129308e-07,NaN,NaN
500,NaN,0.000507144208897992,47.3245469338069
600,7.71089428926024e-07,NaN,NaN
650,NaN,NaN,35.0944877426615
700,5.60536347019562e-07,NaN,NaN
800,NaN,6.67667196382585e-05,338.746780030615
1000,NaN,4.23541106277508e-05,135.203931168727
1500,NaN,0.000106129113787651,62.9667286634536
2000,NaN,3.47198810759829e-05,NaN
2500,NaN,2.41182337158862e-05,NaN
3000,NaN,4.45120364880447e-05,NaN
