t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.494926712205102,0.00217342830002896,0.00228085007470813,0.0139965651645785
10,NaN,NaN,NaN,0.0360115091064032
15,0.454861223625949,NaN,0.031960037769973,NaN
20,NaN,NaN,NaN,0.130472247195798
30,NaN,0.0439268023024126,0.0544865827160511,NaN
35,0.416233683112743,NaN,NaN,0.626415508392085
45,NaN,NaN,0.0255421954998278,NaN
50,NaN,NaN,NaN,0.321642482729719
55,0.540534354860309,NaN,NaN,NaN
60,NaN,NaN,0.0123678686406446,NaN
65,NaN,0.00842334905681566,NaN,0.122084524969905
70,0.437939336340211,NaN,NaN,NaN
80,NaN,NaN,0.00493306853204631,0.0671056621124769
95,0.452086588332676,NaN,NaN,NaN
100,0.326029011626774,0.00227795341391601,0.00167515015292937,0.0578547405139159
150,0.674942882163311,0.00171215702985217,0.00127071760762028,0.025010851395212
200,0.66202247224483,0.00179686968441077,NaN,NaN
250,0.394845003416744,0.00126041698179964,NaN,NaN
300,0.632117116933828,0.00209835607382133,NaN,NaN
350,0.552365783375591,0.00105777689471285,NaN,NaN
450,NaN,0.00123951040346705,NaN,NaN
