t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.362556900195377,0.00149439032750114,0.00194217536514677,0.0281988945895754
10,0.16542161087796,NaN,NaN,0.0137101129744513
15,NaN,NaN,0.000708593476090026,NaN
20,NaN,0.000202347621285814,NaN,NaN
25,0.0923492968526411,NaN,NaN,0.00604521556794314
35,0.0927581393944159,NaN,0.00813879388672039,0.00236018273657972
40,NaN,0.0567989808303652,NaN,NaN
50,0.0918431416508757,NaN,0.0695052230778302,0.289969224211666
65,NaN,0.0702665513158975,NaN,NaN
70,0.10899651617524,NaN,0.0587458417124719,0.698282500795715
85,NaN,0.0468259993084998,NaN,NaN
90,0.121152370669781,NaN,0.0544394805194318,0.556002852600719
100,NaN,0.057788241833337,0.0434328413588669,0.666958728573878
150,NaN,0.0873576925624989,0.0481450000970316,0.526399532514243
200,NaN,0.0304990555600166,0.0488621672026498,NaN
250,NaN,0.0502630010069742,0.0398766539586578,NaN
300,NaN,0.0440176608054272,0.0574334448735922,NaN
350,NaN,0.0493690342982648,NaN,NaN
400,NaN,NaN,0.0424723152456005,NaN
450,NaN,0.0354214647882563,0.0407694865199703,NaN
