t,JAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.582189992239637,0.00157039467323203,0.00177737585379151,0.00193998325126394,0.0126007307445576
20,0.46999063064662,0.0319795745099051,0.0234812103954755,0.015527416667395,0.049960902992727
35,0.509307189314773,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.361465100318512
45,NaN,0.029641972033408,0.0393142791857691,0.0528344406603095,NaN
55,0.384004003412382,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.465684705762759
70,NaN,0.0288037560528735,0.0322849714106887,0.0409074190793875,NaN
75,0.284047210115396,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.411230343520795
95,0.331131479197563,NaN,0.0284942618155517,0.0486115600659488,NaN
100,0.30554913605949,0.0412949879181103,0.0336294021325338,NaN,0.265196798565122
150,0.30905489568598,0.0254294257977849,0.0276970125409709,0.0289271024079594,0.411392307981406
200,0.329878702952891,0.0393310748860662,0.0298149801485018,0.0278851411492451,0.283225616585099
250,0.327687785397589,0.0394825229307457,0.0255862502726038,0.0238546528117645,0.37650259801319
300,0.252059793846065,NaN,0.0200766769620791,0.0267316934707428,0.274534211409416
350,NaN,0.0375300992075507,0.0228370726902515,NaN,NaN
