t,input_il6,tpSTAT3_Obs
120,0.1,0.373927486576568
120,0.1,0.401265673603014
120,0.5,0.728746709204446
120,0.5,0.890249144508887
120,1,1.05001610965955
120,1,1.49447303257004
120,2.5,1.51204060373343
120,2.5,2.64580264062902
120,5,3.05298970081185
120,5,4.20881441584025
120,10,7.09082437448853
120,10,7.36117811260552
120,25,5.18012960093671
120,25,10.9293616624205
120,50,9.22527482194728
120,50,9.36621935605852
120,100,10.4552708255041
120,100,12.7281458829612
120,500,14.3064751063061
120,500,21.63119080747
