t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.431044574701015,0.00218386105280648,0.00165928672996874,0.0165335317317214
10,NaN,NaN,NaN,0.023421879658846
15,NaN,0.0460671338168114,0.0183517649001267,NaN
20,0.223279808172247,NaN,NaN,0.16718192310387
30,NaN,0.0447665560354624,0.0705523319978597,NaN
35,0.343673996100612,NaN,NaN,0.460600665281924
45,NaN,NaN,0.0298705176037521,0.580838771097259
50,NaN,0.0233388843430613,NaN,NaN
55,0.459426705582326,NaN,NaN,NaN
60,NaN,NaN,NaN,0.373760706383141
65,NaN,NaN,0.0150431985616211,NaN
70,NaN,0.00837825112156855,NaN,NaN
75,0.46790599392133,NaN,NaN,NaN
80,NaN,NaN,NaN,0.0994681450689888
85,NaN,NaN,0.00389798606072849,NaN
95,NaN,0.00270683364530692,NaN,NaN
100,0.47984346907709,0.00248811015681967,0.00209897855525423,0.0366289349428471
150,0.402141784245112,0.00161891145491025,0.00145962909277753,0.0161196973221568
200,0.618559955511631,0.001856378900702,0.00086053795768102,NaN
250,0.404143941334028,NaN,NaN,NaN
350,0.462924425379784,NaN,NaN,NaN
