t,input_il6,tpSTAT3_Obs
230,0.1,1.28677672032636
230,0.1,1.38002441868773
230,0.5,2.5740050250168
230,0.5,3.14544371017169
230,1,3.27614188524648
230,1,3.58517116347923
230,2.5,4.34514775232898
230,2.5,5.49762402123724
230,5,6.82388092907508
230,5,8.0077109184996
230,10,9.24255512470799
230,10,10.5304660235408
230,25,9.86409537438478
230,25,12.5608165181144
230,50,13.6164133426095
230,50,15.5779361930113
230,100,10.9554080054465
230,100,16.4483640412588
230,500,14.6973359150948
230,500,17.853074234084
