t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.615877649084484,0.00188993884172805,0.0019103855500585,0.0272165640809865
15,NaN,NaN,NaN,0.0488634893381073
20,0.15447705982844,NaN,NaN,NaN
25,NaN,0.0915792380893637,0.0548399603792053,NaN
30,NaN,NaN,NaN,0.347113135996719
40,0.151258889275886,NaN,NaN,NaN
45,NaN,NaN,NaN,0.693050909103742
50,NaN,0.0756877951411235,0.0662890732148467,NaN
60,0.125322060538867,NaN,NaN,NaN
65,NaN,NaN,NaN,0.763941762464577
75,NaN,0.0707022968321714,0.0573160627794964,NaN
85,0.0674788906331323,NaN,NaN,0.459737494681016
100,0.184660649884576,0.063214769741073,0.0576751042628228,0.660213123653973
150,0.388209383871613,0.00445909048126919,0.0053100458858126,0.109791985971721
200,0.468086811189332,0.00124689225294373,0.000911325735889193,0.0185541579110083
250,0.486331759001911,0.00175401079433436,0.00156285103170093,0.0147055828069198
300,0.37694658667252,0.00205984337114387,0.00127685540033792,0.0185353998012528
350,NaN,0.00169673485469513,0.00171897684760735,NaN
400,0.678212650287515,NaN,NaN,NaN
450,0.433545190456187,0.00220604227133351,0.00170422428178316,NaN
