t,input_ruxolitinib,JAK1_gp130_Obs,SOCS3_Obs
16,0,0.258429331823899,0.0480030696149084
16,10,0.192382941264079,0.0346409155602413
16,50,0.314761532857788,0.0410325505011219
16,100,0.184133678051857,0.0297627589409645
16,100,0.359910043383364,0.0185408426294384
16,200,0.326913045434589,0.0273643388558746
16,200,0.308402025724576,0.0312608020151626
16,400,0.525554635836289,0.0130589381216258
16,500,0.526762171011632,0.0362627287204078
16,600,0.262647024796586,0.0435793061778711
16,800,0.441755634659658,0.0243363159754243
16,1000,0.472729926488525,0.0251260363431428
16,2000,0.385661355644005,0.0180736147407145
16,5000,0.376343189895153,0.0288494200546785
