t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.517532278268732,0.00158124605524914,0.00120493100381319,0.0211476031103604
5,NaN,NaN,NaN,0.0234177869232425
5.5,NaN,0.00513395292126622,NaN,NaN
6.5,NaN,NaN,0.00268629004164708,NaN
10,NaN,0.019436382720135,NaN,0.0222548452633793
15,NaN,0.0548979169917223,0.026729119185497,0.0688759539527074
20,0.111985756272887,NaN,0.0429713743983216,0.124794001175833
25,NaN,0.0798371780118826,NaN,NaN
30,NaN,0.0614495853426012,0.0571153500585403,0.505972889162904
35,0.10129251654167,NaN,0.0580950568049851,0.636753819637497
40,NaN,0.0183732392297047,NaN,NaN
45,NaN,0.0117029677007158,0.0184718586364183,0.488352133826856
55,0.0680702305411716,NaN,NaN,0.270702169387235
60,NaN,0.00043888573568623,0.000583377188976454,NaN
65,NaN,NaN,NaN,0.0636167337102879
70,NaN,0.000122507755395148,NaN,NaN
75,0.0723924645365417,NaN,1.67762757170872e-05,NaN
80,NaN,NaN,NaN,0.00338732272278788
85,NaN,0.000123382497955749,NaN,NaN
90,NaN,NaN,3.38425925834712e-07,NaN
100,0.0348860459618226,8.41834728020336e-05,1.25168866763119e-08,NaN
150,0.0306730960018127,NaN,NaN,NaN
200,0.0183743848988856,NaN,NaN,NaN
250,0.0194657176315553,NaN,NaN,NaN
300,0.0106575357197021,NaN,NaN,NaN
350,0.00659940285262985,NaN,NaN,NaN
