t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.525384846566201,0.00243900899194176,0.00213686246320019,0.0245566864219932
10,NaN,0.0114729246022588,NaN,0.0412285455502687
15,NaN,NaN,0.0181759621352634,NaN
20,0.434767334503559,0.0371930992909393,NaN,0.125066506535753
30,NaN,NaN,0.0335986226261639,NaN
35,NaN,0.0290949720645319,NaN,0.437998431190605
40,0.401274623323276,NaN,NaN,NaN
45,NaN,0.0247983089542998,0.0290579717349718,NaN
50,NaN,NaN,NaN,0.214366030539437
60,NaN,0.00800525125307022,0.00909757580774052,NaN
65,0.421106993239673,NaN,NaN,0.186196164772841
80,NaN,0.00301476355994525,NaN,0.0530603334088608
85,0.465350413155652,NaN,0.00311189088572397,NaN
100,0.462853142793931,0.00215372246711027,0.00171877366700521,0.0266355081712894
150,0.451639594066408,0.00183857014070905,0.00180212976962406,0.0151421459148341
200,0.60280054858534,NaN,NaN,NaN
250,0.473453101334067,NaN,NaN,NaN
300,0.509509997260432,NaN,NaN,NaN
350,0.716960685172171,NaN,NaN,NaN
