t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.386482976532759,0.00180553701204828,0.0018775128981619,0.0232017320366529
15,NaN,0.038987729058604,0.0299267723126464,0.0588290403386135
20,0.145898117437739,NaN,NaN,NaN
30,NaN,0.0925339255294946,0.0809401873662121,0.609991344071369
35,0.226145641898691,NaN,NaN,NaN
45,NaN,0.0464987279675295,NaN,0.742453596338635
50,NaN,NaN,0.0414617103912408,NaN
55,0.32685220306234,NaN,NaN,NaN
60,NaN,0.0247899759469423,NaN,0.27798713515697
65,NaN,NaN,0.0285282172924511,NaN
75,0.39116118646389,0.00980853000433681,NaN,NaN
80,NaN,NaN,NaN,0.210798559209627
85,NaN,NaN,0.00834087728701406,NaN
95,NaN,0.00355685296964752,NaN,NaN
100,0.449106530543311,0.00332195804895802,0.00332735809618717,0.0697551546356788
150,0.419286227673542,0.00164349503330973,0.00132038266777856,0.0134764851031372
200,0.497096389254945,0.00145991304736238,0.00177381558505966,0.0179508087452286
250,0.482127411186169,NaN,NaN,NaN
300,0.332198155460279,NaN,NaN,NaN
350,0.671550180414213,NaN,NaN,NaN
