t,JAK1_gp130_Obs,tpSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.637414773507442,1.19880960830963,0.00206592243423716,0.00166261030142112,0.0020059684758005,0.0167132804614863
10,0.361704053869144,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,0.0301776615197087,NaN,0.015132636292136,0.0386143270500114
20,NaN,21.7403999449158,NaN,0.0430558857310969,NaN,NaN
25,0.224419527765687,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.0573524168691337,NaN,0.0873146702770408,0.561122957083365
40,0.197245207308237,19.8595975937248,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0520031493125219,NaN,NaN
50,NaN,NaN,0.0743643998322131,NaN,NaN,0.503515171328317
55,0.156846168986903,NaN,NaN,NaN,0.0552221458381046,NaN
65,NaN,15.9829842253974,NaN,NaN,NaN,NaN
70,NaN,NaN,0.0553060855962899,0.0452838950617353,NaN,0.739387812982402
75,0.117848240871074,NaN,NaN,NaN,0.0587260720984371,NaN
85,NaN,13.4511295918279,NaN,NaN,NaN,NaN
90,NaN,NaN,0.0721525054132894,NaN,NaN,NaN
95,0.141722849468271,NaN,NaN,0.0543443757970985,0.0496097148159857,0.587428391930152
100,0.116177072555692,16.3128230355667,0.0343136357864642,0.0549216779609837,0.0499905689775061,0.451922693510994
150,NaN,17.7632637213331,0.041680076871759,0.0456388288879054,0.0466521153944207,0.37387483411299
200,NaN,11.6953510559587,0.036666201888728,0.0460056549615529,0.0488110298567577,0.464200414861521
250,NaN,18.1924693417093,0.0356615449969764,0.0340035137640769,0.0447336146801034,0.501402545155932
300,NaN,NaN,0.0364723229408244,0.0463490369264507,0.0317417145439607,NaN
350,NaN,8.0938162868095,NaN,0.0425546595516534,NaN,NaN
400,NaN,11.9886128495996,NaN,NaN,NaN,NaN
