t,input_il6,tpSTAT3_Obs
1300,0.1,0.977269867415689
1300,0.1,1.03456825227609
1300,0.5,1.34829745307958
1300,0.5,2.37634428600585
1300,1,2.20088392650765
1300,1,3.48333702575832
1300,2.5,4.36271473406809
1300,2.5,5.84051646818412
1300,5,5.57762457209814
1300,5,9.17842686495843
1300,10,7.94479787819502
1300,10,8.34466933863165
1300,25,9.98308762628232
1300,25,12.5161391041449
1300,50,16.7078970322866
1300,50,19.8576656249447
1300,100,17.7566412276148
1300,100,18.8165724147113
1300,500,15.0750020235186
1300,500,17.9596395019462
