t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.554272347313459,0.00149490641454008,0.00156318899558351,0.0176799880575736
5,NaN,0.000829835251747145,NaN,NaN
5.5,NaN,NaN,0.00196444313475734,NaN
6,NaN,NaN,NaN,0.0215584208004131
10,NaN,0.000603288606695155,0.000933785956826268,0.0168508893201529
15,NaN,0.000194876580863896,0.000668379701215934,NaN
20,0.101268232718417,6.84081978486476e-05,NaN,0.00873919787588829
25,NaN,NaN,7.29940908491489e-05,0.00678858450783307
30,NaN,7.50661981360832e-06,1.68257838438607e-05,NaN
35,NaN,2.00365619536911e-06,NaN,0.00139726604430055
40,0.0955463942392417,NaN,1.59674221439247e-06,NaN
45,NaN,1.61710330471753e-06,4.54650873103568e-07,0.000206734591553875
55,NaN,8.9201491287669e-07,NaN,4.3876600658442e-05
60,NaN,NaN,7.75561713651914e-09,NaN
65,0.0971322112642678,NaN,NaN,5.58694108847027e-06
70,NaN,9.2391248459745e-07,4.34825627822085e-10,NaN
80,NaN,1.21233372101647e-06,NaN,1.30237789708365e-07
85,0.0662279024988527,NaN,3.92930341654128e-12,NaN
100,0.0560968417122088,NaN,NaN,3.10056083212071e-09
150,0.0392097861738086,NaN,NaN,NaN
200,0.0172070617504826,NaN,NaN,NaN
250,0.0195099603570187,NaN,NaN,NaN
300,0.0133345122569967,NaN,NaN,NaN
400,0.00640921450800089,NaN,NaN,NaN
