t,input_il6,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
12,5,0.297807302076396,0.00442178349989557,0.00287975302247596,0.0281469051264536
12,5,0.48326347796745,0.00473096193731778,0.00276370423849507,0.0212091086173523
12,5,0.557187424736497,0.00344604904915579,0.00251936261837528,0.0185332457083737
12,5,0.577128427692911,0.00456788394830941,0.00294129956033324,0.023008086056547
12,20,0.271386066990973,0.013161496152063,0.00653125437552233,0.0175271514656988
12,20,0.422560513392397,0.012097537736742,0.00594876863522436,0.0260684877638504
12,20,0.464040430979926,0.0108068666809755,0.0057535814078472,0.0208792537882607
12,20,0.485853311897704,0.0174601388532722,0.00931876192517205,0.0237404504362958
12,40,0.211009438297502,0.0168649892412763,0.0114742661122394,0.0207078113024868
12,40,0.271099112436291,0.0139808055370466,0.00805583102953584,0.0291727002124335
12,40,0.31189058836313,0.0233764364047778,0.0152177768929789,0.0309620571925389
12,40,0.324052750656673,0.0145418982463352,0.0114551876879095,0.0244659457672234
12,90,0.114664093958473,0.0327929286990242,0.0282374265154028,0.0250021274661191
12,90,0.133798416563434,0.0281204705387444,0.0165912087805394,0.0370484791013723
12,90,0.14816053341455,0.033201525189723,0.0217612803000966,0.0284467237255487
12,90,0.153585610465993,0.0445141320421459,0.0135709852114495,0.0217333303000813
