t,input_il6,JAK1_gp130_Obs,SOCS3_Obs
33,0.1,0.705133584543361,0.0298196566417233
33,0.1,0.367844666186851,0.0232447099686887
33,0.1,0.632071307717315,0.024792292646095
33,0.1,0.506267446938153,0.0214233521928743
33,1,0.447221616420243,0.0369744510484922
33,1,0.496721715146038,0.0454183736284954
33,1,0.619506656992885,0.0434448243802024
33,1,0.615935945660179,0.0490598258342731
33,5,0.310871383892109,0.23189430338306
33,5,0.285043177310537,0.24255724963446
33,5,0.3876846676083,0.268981308190486
33,5,0.412826221418321,0.240626935530724
33,10,0.105270277244663,0.706482286001654
33,10,0.102666622043695,0.597768269300218
33,10,0.113080082182812,0.919203025303838
33,10,0.110926287482858,0.611182786572135
33,50,0.446449039198651,0.172871058030384
33,50,0.46857091060635,0.114372405249526
33,50,0.544501017336752,0.18465990945906
33,50,0.543271416175604,0.121375792412905
33,100,0.182138305913563,0.449456833694504
33,100,0.170281870450413,0.786899128621955
33,100,0.134111907851857,0.618230383489039
33,100,0.236351540843169,0.459565465649711
33,500,0.0272723135832317,0.760344896185229
33,500,0.0403000747324272,0.789639008316471
33,500,0.0273572944357839,0.841839655321954
33,500,0.0283577182761895,0.77421183346682
