t,input_il6,JAK1_gp130_Obs,SOCS3_Obs
12,0,0.559962558226102,0.0186137758336014
12,0,0.582185921534972,0.0193096801011891
12,0,0.63541261550115,0.0173763984013364
12,15,0.301415001876418,0.0145290374104587
12,15,0.440332667232193,0.0233383167067721
12,15,0.486948179760595,0.0173266663230761
12,30,0.335741729979105,0.0261979072102933
12,30,0.400895836635015,0.0242203642602861
12,30,0.405127756711049,0.0289784394651277
12,60,0.174127332633328,0.029692805773179
12,60,0.1891820944836,0.0233586005288503
12,60,0.20005528413326,0.0259153867825465
12,120,0.105490704296005,0.031787363002427
12,120,0.111774614378695,0.0326299615512971
12,120,0.137975804865559,0.0545712405796983
