t,JAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.580227818318778,0.00209028500333566,0.00191250124160342,0.00186715325273358,0.018623634841555
20,0.325018588255825,0.0183046079368853,0.0113461404175242,NaN,0.0449878547612077
25,NaN,NaN,NaN,0.0136955921185967,NaN
35,0.625775210166301,NaN,0.0294705685257501,NaN,NaN
40,NaN,0.0308544888523923,NaN,NaN,0.279667623757227
45,NaN,NaN,NaN,0.0275821003145787,NaN
55,0.35706791490431,NaN,0.0256053578152429,NaN,NaN
60,NaN,0.0307782030422534,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.368633729968583
75,NaN,NaN,0.0368264090347076,0.0284934220561721,NaN
80,0.300320794827558,NaN,NaN,NaN,NaN
85,NaN,0.0154583366818633,NaN,NaN,0.339984888649266
100,0.377730898493806,0.0251467473055498,0.0233728445397648,0.0236977095455552,0.311080663899307
150,0.405277499712048,0.0239944372835867,0.0227865046047539,0.0145540625793438,0.208751725809231
200,0.251384640386822,0.0291371922241483,0.0178322382528073,0.0224046435162071,0.166298469848243
250,0.363215118106152,NaN,0.0219468782359007,0.0227934734319035,0.227048671058133
300,0.38041101831444,0.0169372822241681,0.0206515212538574,0.0155995334346036,0.147206886245481
400,NaN,NaN,NaN,0.0147142888207595,NaN
