t,input_ruxolitinib,JAK1_gp130_Obs,SOCS3_Obs
14,0,0.774482205613966,0.0221909378798021
14,10,0.474445344466129,0.0274256877659746
14,10,0.474765237453331,0.0159318016228293
14,10,0.526416403594444,0.0145286572230086
14,10,0.53481719967232,0.0161615824053806
14,50,0.449308575850295,0.0175115881081843
14,100,0.496958255963796,0.0199053567398958
14,200,0.484106192205674,0.0173956803920248
14,200,0.514281983944889,0.0164111740067065
14,200,0.561050928663324,0.0205853462322211
14,200,0.812265740328949,0.0122005264565345
14,400,0.591435801274716,0.0134286470837775
14,500,0.40228200557934,0.0330627058620239
14,500,0.596157505211465,0.018001439427388
14,600,0.396832259666112,0.0176018695433507
14,800,0.719198358645519,0.0246823493743271
14,1000,0.40948118443052,0.0167315240418754
14,1000,0.451300405650589,0.0206973426341266
14,1000,0.606482635944723,0.0197313767217253
14,1000,0.734993270176627,0.0208826572852068
14,2000,0.503790158796207,0.012938398339981
14,5000,0.544174923352917,0.0197280161239023
14,5000,0.600086412711225,0.0154489432527318
