t,input_il6,tpSTAT3_Obs
2500,0.1,1.56015582080361
2500,0.1,1.92603410450768
2500,0.5,2.10336426773792
2500,0.5,2.75542266004876
2500,1,3.05323636975872
2500,1,3.52264633727653
2500,2.5,5.58494889905773
2500,2.5,6.073094562286
2500,5,6.74939537386869
2500,5,9.48895988042571
2500,10,7.47601352080623
2500,10,7.90115343004526
2500,25,10.0978547401298
2500,25,11.6544978200573
2500,50,16.2804194251139
2500,50,19.6723184931314
2500,100,14.8573720406502
2500,100,17.9100771050878
2500,500,14.331979205075
2500,500,20.9407104711805
