t,input_il6,tpSTAT3_Obs
85,0,1.05494260395533
85,0,1.23869819441575
85,0.0005,0.871048072778798
85,0.0005,1.30208857275242
85,0.0005,1.71208515119619
85,0.0005,1.15984688399441
85,0.0005,1.22011022431909
85,0.0005,1.08801663206879
85,0.005,1.07551165355642
85,0.005,1.21913276003323
85,0.05,1.23370942992275
85,0.05,1.05152455287338
85,0.05,1.2520047480869
85,0.05,1.21852702017461
85,0.05,1.64738021756149
85,0.05,0.969888363639129
85,0.05,1.50511980708929
85,0.05,0.923762035477528
85,0.1,1.59237953949365
85,0.1,1.31542471193052
85,0.1,1.4583924926309
85,0.1,1.26986731248508
85,0.1,1.19059723664096
85,0.1,1.23698407972348
85,0.5,2.73950078288536
85,0.5,2.5281296526158
85,0.5,3.09692779716065
85,0.5,3.79271213629403
85,0.5,2.86140487560046
85,0.5,2.37422442486015
85,0.5,3.51831950720478
85,0.5,2.64030255942342
85,1,4.77090481256841
85,1,3.8095290290178
85,1,3.57095268771502
85,1,2.44037045664025
85,2.5,11.18238247594
85,2.5,13.1580288799255
85,2.5,12.1306373314681
85,2.5,12.5775114191925
85,2.5,9.61493877586931
85,2.5,12.4523455775705
85,5,15.548225668278
85,5,14.3064154978679
85,5,6.39353341696674
85,5,6.08601987768247
85,10,6.16910360053941
85,10,8.96638324674883
85,10,7.51716653585958
85,10,6.75853285719059
85,10,19.0362633047969
85,10,20.8853080580812
85,25,17.2236030601506
85,25,17.5138063190989
85,25,16.1263778961137
85,25,26.3807049938959
85,25,16.2454030644501
85,25,16.0066947020782
85,25,9.65627009672848
85,25,14.1690645497469
85,50,26.7173305016301
85,50,20.7327135630034
85,50,20.0434414529287
85,50,12.3386581496982
85,50,20.7741916309657
85,50,10.8683784936415
85,50,6.85167316343473
85,50,8.27376904071158
85,100,11.6357566511011
85,100,11.2229243017727
85,200,15.4545670809393
85,200,16.9249316123499
85,200,16.8963675826322
85,200,18.793116973948
85,200,19.3569785162479
85,200,18.0823567060203
85,200,19.6790505531835
85,200,21.0670167850113
85,500,19.3747866789479
85,500,17.8610360047411
85,500,24.4664081832783
85,500,23.0486931668608
85,500,15.2856868738445
85,500,29.740976592106
85,500,17.8694710373071
85,500,26.2627949743196
