t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.609538686585148,0.0016333391946148,0.00193726799234289,0.0313052160056916
20,0.25892173923761,NaN,NaN,0.161209135578488
25,NaN,0.0472165707968721,0.0664159486559108,NaN
40,0.238781278128354,NaN,NaN,0.527452397946012
50,NaN,NaN,0.0695258925236557,NaN
55,NaN,0.0587173847166968,NaN,NaN
60,0.164643457817302,NaN,NaN,0.803050696426478
75,NaN,NaN,0.0541447656612374,NaN
85,0.187800539160187,0.0399927402063159,NaN,0.57369500070879
100,0.150747736736695,0.0448003147238263,0.0563506603354506,0.485124994257724
150,0.235961613293966,0.0206896757171529,0.022800528077158,0.274166910208834
200,0.253080297567132,0.00207589923634651,0.00191643527269099,0.0306857384507673
250,0.371164916213984,0.00106062827274533,0.00137387993139997,0.0137388607253519
300,0.486044083646803,0.00179880002142812,0.00133231156887671,0.0119627821098745
350,NaN,0.00161154391904054,0.0016707810944557,NaN
400,0.45380987510946,NaN,NaN,NaN
450,0.629510728354954,0.0016096171505365,0.00187541755695794,NaN
