t,input_il6,JAK1_gp130_Obs,SOCS3_Obs
17,0,0.599046154731375,0.015606322432511
17,0,0.572261399208425,0.0179226266784179
17,5,0.354361549368229,0.0303849752615451
17,5,0.487397999959965,0.0315596587792589
17,10,0.0738313477498248,0.140920141517784
17,10,0.129141058855355,0.140723150916403
17,20,0.246620700488227,0.0419092106575983
17,20,0.37332298475449,0.0459224264421188
17,40,0.252452304852394,0.0582700888485064
17,40,0.228302173861496,0.0818831360379498
17,80,0.540756928168574,0.0276351875993324
17,80,0.535260325185798,0.0195580753996219
17,120,0.204298493991156,0.0998826365405217
17,120,0.173382910153826,0.100968184969031
