t,JAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.552896986485106,0.00192171961694348,0.0016049105222829,0.00302251496381817,0.0201225082748309
5,NaN,0.000973537003830994,NaN,0.00150147228873607,NaN
5.5,NaN,NaN,0.00151603458843894,NaN,NaN
6,NaN,NaN,NaN,NaN,0.0164330645819186
10,NaN,0.000230702554289383,0.000565724270152397,0.000986162216184177,0.0171199230907386
15,NaN,8.86473080410679e-05,0.000264063962576241,0.000601467144242304,NaN
20,0.0874895950625536,2.47158441665996e-05,NaN,0.000187271845656325,0.0107730444861278
25,NaN,NaN,1.85174488479449e-05,NaN,0.00569256647440291
30,NaN,8.68603538227556e-07,8.00918373017401e-06,2.24214217376266e-05,NaN
35,NaN,2.04640169443582e-07,NaN,6.37642894830277e-06,0.00109725132764684
40,0.102371178499459,NaN,1.82864492220768e-06,NaN,NaN
45,NaN,1.09799875269202e-08,NaN,5.54249999842043e-07,0.00029180114555225
50,NaN,NaN,7.66581808878852e-07,NaN,NaN
55,NaN,4.0787086754533e-10,NaN,3.07237786314324e-08,3.57055912152459e-05
60,0.0859887330036576,NaN,7.02490210677517e-07,NaN,NaN
65,NaN,NaN,NaN,1.80305833666702e-09,3.53056298406642e-06
70,NaN,3.69760364201659e-12,1.12618435610412e-06,NaN,NaN
80,NaN,NaN,NaN,2.30525737991701e-11,1.79547053268642e-07
85,0.0396599655108609,NaN,8.1489668288421e-07,NaN,NaN
100,0.0617146203502358,NaN,NaN,NaN,2.52555231648607e-09
150,0.0317814945004035,NaN,NaN,NaN,NaN
200,0.022440352897085,NaN,NaN,NaN,NaN
250,0.0152985311752295,NaN,NaN,NaN,NaN
300,0.0175336518273896,NaN,NaN,NaN,NaN
350,0.00923513589714588,NaN,NaN,NaN,NaN
