t,JAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.56176399862207,0.00193835463088997,0.0021882758234417,0.00180970195037255,0.0178704958880208
15,0.301666034484682,0.0255285453735483,0.0240483758004431,0.0121255449030208,NaN
20,NaN,NaN,NaN,NaN,0.0688257073946004
30,0.246804495250078,NaN,0.0405362018087566,0.0713264722191041,NaN
35,NaN,0.0290816798708841,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.504808806595991
50,0.287040949998179,0.0381478541568478,0.0336792915049113,0.0480424829501451,NaN
60,NaN,NaN,NaN,NaN,0.519754524842826
65,0.245024985399316,NaN,0.0424473699842512,0.0419885224629993,NaN
70,NaN,0.0488874064409564,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.458277738364299
85,0.205547067302183,NaN,0.0482220704788587,NaN,NaN
90,NaN,NaN,NaN,0.0529563783080749,NaN
95,NaN,0.041165621796956,NaN,NaN,NaN
100,0.201875855280054,0.0360460450186344,0.0391077839048142,0.0318189091205863,0.464771486105544
150,0.254409304474109,0.0513044062985031,0.0403115231273816,0.0320197474692285,0.396692041912246
200,0.24161574258034,0.0320035674968161,0.0440927034080183,0.0484536934509876,0.326170552102673
250,0.188924977724691,0.0351751778043101,0.0410421111359955,0.0233734381083042,0.297559965519467
300,NaN,NaN,0.0376472895778571,NaN,0.494033135867252
