t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.40437497247741,0.00158119168215035,0.00188468551184647,0.0206233779739504
10,NaN,0.0166573285146885,0.00688302547074465,0.0275577692403299
20,0.38963964172527,NaN,0.0324841861610384,NaN
25,NaN,0.0347502604380416,NaN,0.246553109448957
35,0.44795379479614,NaN,0.0461987418305596,0.24698721352129
40,NaN,0.0227946860667501,NaN,NaN
45,NaN,NaN,0.0132111681484251,NaN
50,NaN,NaN,NaN,0.280498990679485
55,0.535910728565239,0.0108236870590984,NaN,NaN
60,NaN,NaN,0.00745543747756009,NaN
70,NaN,0.00503140278607978,NaN,0.0761754572205407
75,0.572811118340038,NaN,NaN,NaN
80,NaN,NaN,0.00308197970981467,NaN
90,NaN,0.00485957745039316,NaN,0.0356292325395387
100,0.422252273531776,0.00196913993212492,0.00253050707293766,0.0170652844183002
150,0.671676646868749,0.00152485773775439,0.00167826209592478,0.0153023210183677
200,0.490790812341479,NaN,NaN,NaN
250,0.664602935607599,NaN,NaN,NaN
300,0.476392707709014,NaN,NaN,NaN
