t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.584818824739437,0.00236259544917936,0.00156824310654146,0.0202164784433139
15,NaN,0.0213019357210219,NaN,NaN
20,NaN,NaN,0.0463988526002871,0.130270270884964
25,0.372582085197018,NaN,NaN,NaN
30,NaN,0.0626157742134024,NaN,NaN
35,NaN,NaN,0.0676516937717774,NaN
40,NaN,NaN,NaN,0.52546756081996
45,NaN,0.0557504362438703,NaN,NaN
50,0.257585836461715,NaN,NaN,NaN
55,NaN,NaN,0.0430111857479704,NaN
60,NaN,NaN,NaN,0.531460219902681
65,NaN,0.0277889226294751,NaN,NaN
75,0.328734079966478,NaN,NaN,NaN
80,NaN,NaN,0.0246432254433077,0.335671815104042
85,NaN,0.0111447480989733,NaN,NaN
100,0.25610755061488,0.00622695949448747,0.00776347077788956,0.169748644892406
150,0.402295378413981,0.00177587582949634,0.0012262550821279,0.0183659915067732
200,0.578998129349563,0.00105193657850068,0.00104713645446672,0.0132104906867349
250,0.444150503634609,0.00161753078535759,NaN,0.011253756710621
300,0.466555132983122,NaN,NaN,NaN
350,0.460691651608867,NaN,NaN,NaN
450,0.668798393131477,NaN,NaN,NaN
