t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.463841599585016,0.00193797501011018,0.0015838141944347,0.0204684635959731
15,NaN,0.0537437013612206,0.0300072900613777,0.068581074084786
20,0.113632408762977,NaN,NaN,NaN
25,NaN,0.0608922393516219,0.0699154005091483,NaN
30,NaN,NaN,NaN,0.70624602224104
40,0.428828077487548,0.0569067874043212,0.053874635576094,NaN
50,NaN,NaN,NaN,0.628988998324233
55,NaN,0.0275806590651905,0.0375076365982246,NaN
60,0.418827316628031,NaN,NaN,NaN
70,NaN,NaN,NaN,0.175894788284131
75,NaN,0.00942445053894291,0.0088763179057296,NaN
80,0.45541231309005,NaN,NaN,NaN
95,NaN,0.00347153364864156,0.00695694748542811,0.0768890481234296
100,0.338394894219909,0.00326121106727981,0.0030289800062228,0.0681642239283005
150,0.434487224831179,0.0015241253169022,0.00162233358420595,0.0176256230915021
200,0.546257478674213,0.00173530643464948,0.00149252451257526,0.0144416735728576
250,0.363399593815694,NaN,NaN,NaN
300,0.424473886576642,NaN,NaN,NaN
350,0.435417529439943,NaN,NaN,NaN
