t,input_il6,JAK1_gp130_Obs,SOCS3_Obs
31,0.1,0.411052472514925,0.011922856198767
31,0.1,0.509820544161508,0.0169691485847426
31,1,0.591499491237645,0.0184070986392154
31,1,0.734231185860432,0.0148123781929531
31,5,0.382295610229982,0.0241547723566047
31,5,0.525842790616666,0.026174082592924
31,10,0.465968491268138,0.0450134996314954
31,10,0.634595709978969,0.0516136529114999
31,50,0.295945847221693,0.174101992179563
31,50,0.457935914057852,0.129990747524772
31,100,0.244079628626598,0.217069561858431
31,100,0.245656970084625,0.207833335135179
31,500,0.0727946419027697,0.517740668387696
31,500,0.0753079786665279,0.455920976400508
