t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.507624045084611,0.00161865667617737,0.0014503694962139,0.0256997391160038
10,NaN,NaN,0.00939543647682103,0.0202475218621061
15,0.207892738714971,0.0655208721376124,NaN,NaN
20,NaN,NaN,NaN,0.227607252443243
25,NaN,NaN,0.0722348526709206,NaN
30,NaN,0.0639198835353619,NaN,NaN
35,0.518792576625033,NaN,NaN,0.81345335779753
40,NaN,NaN,0.0362282226477943,NaN
45,NaN,0.0291922266011633,NaN,0.619544718056571
55,0.349841981417508,NaN,0.0271332152186295,NaN
60,NaN,0.0142504695648807,NaN,0.361149476354597
70,NaN,NaN,0.00847941687943951,NaN
75,0.350378532670421,NaN,NaN,0.185936662760852
80,NaN,0.00659517692926919,NaN,NaN
90,NaN,NaN,0.00382661540626788,NaN
95,0.475653457031959,NaN,NaN,0.0539415721665108
100,0.470309188773944,0.00287888958710165,0.00229382298412054,0.0291977797039783
150,0.4224740832467,0.00212939395467678,0.00131944789760029,0.0239064336541063
200,0.608256581988003,0.00260131909621069,NaN,NaN
250,0.523016147923294,NaN,NaN,NaN
350,0.51003609870379,NaN,NaN,NaN
