t,JAK1_gp130_Obs,SOCS3_Obs
0,0.720687878733014,0.0201460401212336
10,0.265353356046949,NaN
15,NaN,0.0433711983999093
25,0.212152783984239,NaN
30,NaN,0.305216818784564
35,0.262052753387865,NaN
45,0.0869259217368544,NaN
50,NaN,0.723838213968896
60,0.120045275165525,NaN
70,NaN,0.50972624255588
75,0.120263666050227,NaN
90,NaN,0.740515859215817
95,0.0864706807821073,NaN
100,0.123420966278623,0.657502450643584
150,0.129413391951758,0.44845235016426
200,0.0718130968438544,0.387947986062785
250,NaN,0.436736290361372
