t,input_il6,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,2.5,0.413707048249809,0.00173129436837667,0.00224036320024658,0.0193911550335
0,2.5,0.489865379096321,0.0020940248857469,0.00144477099165726,0.0269478272238408
0,2.5,0.611178379842585,0.00217083692972676,0.00162298678963426,0.0223579289042932
0,2.5,0.710446299657198,0.00218657988103142,0.0016695128838374,0.0206937661910899
0,2.5,0.737110177197976,0.00119722091625044,0.00254457005496927,0.0194913533505846
0,10,0.383258003834474,0.00173196685243741,0.00183893135345919,0.0241196851580012
0,10,0.503435852074462,0.00205534759663742,0.00173801308140158,0.0220901129211287
0,10,0.530431181280457,0.00189932248510455,0.00160040513665786,0.0276747949963561
0,10,0.738428399713637,0.00142979282837158,0.00122065870391586,0.0193749885270496
0,10,0.752130715231799,0.00247333990763255,0.00142747906743792,0.018993860832413
0,60,0.446969312492022,0.00186494867149678,0.00224512617474399,0.0209053193674997
0,60,0.504439886418551,0.00152061985451124,0.00256706216676186,0.0222964970297268
0,60,0.611814066583816,0.00155781667777955,0.00199070634438801,0.0194203525349841
0,60,0.663891131531414,0.00157106265836834,0.00190334626037937,0.0178373221208135
0,60,0.742159057597617,0.00279340193014866,0.00198259555636179,0.020237301079238
0,120,0.425480372398529,0.00165003903275062,0.00196341265596255,0.017457656103953
0,120,0.574733458984412,0.0023057624820788,0.00199194564052602,0.017755358330218
0,120,0.597493399769938,0.00199022742090733,0.00206299215210959,0.0207611535727771
0,120,0.709384819843308,0.00226499208293304,0.00197623824706793,0.0213816981875336
0,120,0.757898687894862,0.00261167271585429,0.00166322830381444,0.0177534998748152
