t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.867582021142392,0.00195387253514053,0.00139239899998391,0.020157591046685
10,NaN,NaN,0.0049570879890285,NaN
15,NaN,0.055865709979553,NaN,0.0409911836290167
25,0.269882067790134,NaN,0.0443735486816296,0.227393629069968
30,NaN,0.0646380047219486,NaN,NaN
40,NaN,NaN,0.0553597178130425,0.544166220390985
45,0.462338039680509,0.0564746582211701,NaN,NaN
55,NaN,NaN,0.0532907397646283,0.390617287122824
65,NaN,0.0158903731746939,NaN,NaN
70,0.380482346105486,NaN,0.0172489794825949,NaN
75,NaN,NaN,NaN,0.179690200753156
85,NaN,0.00484635807950177,NaN,NaN
90,NaN,NaN,0.00587662323687264,NaN
95,NaN,NaN,NaN,0.0596666370988565
100,0.402264176911198,0.00315914598439267,0.0031831165065555,0.054405035927004
150,0.457947115875488,0.0017049347033988,0.0016097580657303,0.0139519184272456
200,0.497139674508705,0.00103757109336736,0.0012978692711536,0.0172035364690391
250,0.469920790294566,NaN,NaN,NaN
300,0.45512632279621,NaN,NaN,NaN
350,0.518645957879322,NaN,NaN,NaN
450,0.663950776928142,NaN,NaN,NaN
