t,JAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.404023750250528,0.00196817870593153,0.00243910755667098,0.00191954926748416,0.0184025252419628
10,0.177575528846661,NaN,NaN,NaN,NaN
20,NaN,0.0632310716997082,NaN,NaN,0.206292777554613
25,0.140673532274258,NaN,0.0825575083007673,0.0639827130798326,NaN
40,0.139759865063181,NaN,NaN,NaN,NaN
45,NaN,0.0658785378216618,NaN,NaN,0.903169624299828
50,NaN,NaN,0.0735709189650914,0.0841852035151539,NaN
55,0.100044538122256,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.683188765431532
70,NaN,0.0454814874953934,NaN,NaN,NaN
75,0.0818774211776222,NaN,NaN,0.0552327863295857,NaN
80,NaN,NaN,0.0456377833655469,NaN,NaN
90,NaN,NaN,NaN,NaN,0.492929474770836
95,0.0849605828282934,0.0349482291027836,NaN,NaN,NaN
100,NaN,0.0648719471848301,0.0535147740288489,0.0407738317568572,0.611192753638309
150,NaN,0.0384607367116501,0.0600528115873414,0.0394323548303891,0.521176285879385
200,NaN,0.0658338029620215,0.043137127544077,0.0495460106833003,0.429207933334974
250,NaN,0.0387719753178827,0.0524230480372098,0.0531401672753966,0.57567755359093
300,NaN,0.0460188654425127,0.0406189499301978,NaN,NaN
350,NaN,0.0382938373173765,0.0373388572430135,0.0271535609214615,0.65965684925923
400,NaN,NaN,NaN,0.0560866689006236,0.478582057968163
450,NaN,NaN,0.0390802627490433,NaN,NaN
