t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.426988927335998,0.00177467600084739,0.00164963946929942,0.0219021421026527
10,NaN,NaN,0.00720312818040038,0.0286048677462458
15,NaN,0.0279551719244541,NaN,NaN
20,0.288106719998523,NaN,0.0343476578235682,0.116081860266465
30,NaN,0.0390513001664084,NaN,0.314209143038518
35,0.496749740774953,NaN,0.0647975725845079,NaN
45,NaN,0.0237664890729711,0.0473447103770111,0.391210456671549
55,0.437319311533288,NaN,NaN,0.375076084292297
60,NaN,0.0140042224571271,0.0166963024697692,NaN
75,NaN,NaN,NaN,0.13797596436706
80,0.345558577507051,0.00479897085261513,0.00482682562155017,NaN
95,NaN,NaN,NaN,0.0501073152589082
100,0.486484305559142,0.00174823715183022,0.00195412410908784,0.0332766128640554
150,0.574113482948969,0.0014203884894175,NaN,NaN
200,0.473256580544195,NaN,NaN,NaN
250,0.573717118649479,NaN,NaN,NaN
300,0.477633481420769,NaN,NaN,NaN
350,0.712391450217964,NaN,NaN,NaN
