t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.668073742771456,0.00140341722137438,0.00167624684697779,0.0185138865873514
15,NaN,0.0498949666229069,0.0241220479539894,0.0618664936039041
25,0.244246189788688,NaN,NaN,NaN
30,NaN,NaN,0.0604846801088825,0.658088713836911
35,NaN,0.0513838738486945,NaN,NaN
45,0.273256373427337,NaN,0.0346818143537436,0.613150274008999
55,NaN,0.0239494548925869,NaN,NaN
65,NaN,NaN,0.0163684721487765,0.473233026844314
75,0.390126045138387,0.0117504828143588,NaN,NaN
85,NaN,NaN,0.0086989460570708,0.133738006950936
100,0.35671408236752,0.00388363716207114,0.00404976373524088,0.053203724783049
150,0.449671760439372,0.00154183722252699,0.0014494164621607,0.0317852932339895
200,0.549446692327395,0.00163332401221456,0.00156549400890461,0.0100593061162861
250,0.570406822233167,NaN,NaN,NaN
300,0.615392830356105,NaN,NaN,NaN
350,0.433398262455587,NaN,NaN,NaN
450,0.577669727688525,NaN,NaN,NaN
